sensor_index,date_created,private,location_type,uptime,position_rating,Y,X
10272,1525469143,0,0,4653,5,37.103737,-76.38677
141352,1640114872,0,1,18945,5,38.305347,-122.47196
141356,1640114882,0,1,18851,5,13.729554,100.56421
141366,1640114997,0,1,3110,0,48.38248,-114.041145
141368,1640115004,0,1,18897,5,44.04162,-121.382706
141376,1640115120,0,1,286,0,48.295994,-120.06731
10324,1525474271,0,0,8007,5,39.1452,-119.7668
141414,1640115593,0,0,18934,5,42.65145,-83.15945
141412,1640115591,0,0,18916,5,35.698067,-105.89777
141430,1640190762,0,1,11477,0,37.401142,-122.101135
10376,1525732605,0,0,18892,5,40.860023,-115.742355
141454,1640205479,0,1,17508,5,37.32813,-121.771
10384,1525732652,0,0,17285,0,39.1448,-119.7668
141458,1640205532,0,1,18876,5,38.57263,-121.48804
10386,1525732660,0,0,8007,5,39.1456,-119.7668
141456,1640205510,0,1,10220,5,52.196167,0.145377
10388,1525732662,0,0,7997,5,39.1422,-119.7668
10392,1525732674,0,0,8010,5,39.146,-119.7659
10400,1525732698,0,0,8012,5,39.1444,-119.7668
141474,1640205770,0,1,18891,1,38.525143,-122.4764
141476,1640205939,0,1,18825,5,40.731136,-122.94327
10410,1525898056,0,0,18331,2,53.745213,-122.68103
141480,1640205947,0,1,15806,5,37.451317,-122.128624
141514,1640209305,0,0,6168,5,38.38552,-122.46352
141518,1640209364,0,0,2442,5,-15.198906,-69.765594
141522,1640209376,0,0,8151,5,-15.645375,-69.83208
10452,1525977029,0,0,18945,5,-30.50919,151.67432
10468,1525977109,0,1,18903,0,-30.424225,151.5972
10476,1525977193,0,1,9962,5,-30.51689,151.6592
10512,1525982381,0,0,18886,5,45.512787,-122.6866
10526,1525987428,0,0,16856,5,-37.906097,145.05377
10542,1525987473,0,0,18887,5,57.520367,11.945179
10544,1525987532,0,0,62,5,33.782234,-118.26753
10554,1526145596,0,0,18928,5,44.069813,-123.03928
10566,1526145708,0,1,18886,5,43.744316,-122.47515
141640,1640296531,0,0,303,0,-15.214307,-69.684044
141650,1640296558,0,0,16291,5,-15.84452,-70.02181
141662,1640296675,0,0,9310,5,-16.301418,-69.24421
10590,1526151045,0,0,18887,5,53.6457,-2.640321
10592,1526151059,0,0,16873,5,43.923737,-123.029236
10594,1526151074,0,0,13674,5,44.067276,-123.14135
10596,1526151102,0,0,7213,5,44.078846,-122.761444
10602,1526151158,0,0,3891,5,45.325245,8.84173
141678,1640364073,0,0,336,0,48.788235,-122.70481
10606,1526151200,0,0,12920,5,44.046738,-123.0178
10610,1526151253,0,0,18239,5,43.834713,-123.03464
141680,1640621918,0,0,11470,5,27.721731,-82.69575
10614,1526155885,0,0,14386,5,44.006504,-123.08536
10642,1526156916,0,0,18923,5,44.055725,-123.10415
10644,1526156976,0,0,18933,5,44.1521,-122.36217
10648,1526160988,0,0,18927,5,43.99404,-123.17472
10658,1526161039,0,0,18916,5,39.3927,-107.09065
10664,1526161134,0,0,18860,5,44.048256,-122.92375
10671,1526161174,0,0,18894,5,44.073837,-123.35885
10692,1526313797,0,0,18950,5,37.26,-107.017
141770,1640647057,0,0,18864,5,35.88074,-106.306465
10698,1526313824,0,0,17572,5,38.15156,-107.74957
10704,1526313892,0,0,18924,0,19.850021,-155.9409
10708,1526313929,0,0,18895,0,19.86205,-155.67453
10724,1526331487,0,0,5270,5,39.047657,-108.4294
141814,1640648677,0,1,2440,0,39.59257,19.82273
141816,1640648686,0,0,1768,5,42.831867,-71.74672
141824,1640648916,0,0,4410,5,39.95238,-75.21661
141830,1640649135,0,0,18923,5,36.993717,-121.59215
141844,1640720680,0,0,4677,5,35.73601,-106.01625
141848,1640721834,0,1,18856,5,47.211582,-122.55739
10808,1526411513,0,0,17472,5,40.507317,-111.899185
10818,1526412527,0,1,18944,0,20.32031,-155.77583
141888,1640801400,0,0,6720,5,40.2863,-111.68621
10820,1526412534,0,1,18886,0,20.047182,-156.20026
141894,1640801415,0,0,18828,0,40.6275,-111.87109
141896,1640812439,0,0,14762,5,49.991905,-117.37433
141906,1640815242,0,1,17420,5,37.454372,-122.256775
141904,1640812464,0,1,5719,5,38.322853,-122.29999
141914,1640815273,0,1,13088,5,38.856045,-120.039536
141918,1640815289,0,1,1392,5,37.727383,-122.440994
141928,1640815366,0,1,17608,5,37.77347,-122.42987
141938,1640815400,0,1,18950,5,37.404327,-122.098694
10874,1526501797,0,0,18819,5,34.154896,-118.56879
141948,1640819115,0,1,15152,5,40.419907,-79.84619
10890,1526502233,0,0,18935,1,34.221073,-118.05719
141966,1640819275,0,1,18897,5,37.38974,-122.07102
10894,1526504909,0,0,3264,5,40.09578,-88.315544
141972,1640819298,0,1,14746,5,37.78944,-122.391365
10906,1526504940,0,0,18893,5,43.5412,-116.143
